package;ifcStereotype;ifcType;tc211Stereotype;tc211Type
IfcMeasureResource;DataType;IfcRatioMeasure;;Measure
IfcMeasureResource;DataType;IfcReal;;Real
IfcMeasureResource;DataType;IfcRotationalFrequencyMeasure;;Measure
IfcMeasureResource;DataType;IfcRotationalMassMeasure;;Measure
IfcMeasureResource;DataType;IfcRotationalStiffnessMeasure;;Measure
IfcMeasureResource;DataType;IfcSectionalAreaIntegralMeasure;;Measure
IfcMeasureResource;DataType;IfcSectionModulusMeasure;;Measure
IfcMeasureResource;DataType;IfcShearModulusMeasure;;Measure
IfcMeasureResource;DataType;IfcSolidAngleMeasure;;Angle
IfcMeasureResource;DataType;IfcSoundPowerLevelMeasure;;Measure
IfcMeasureResource;DataType;IfcSoundPowerMeasure;;Measure
IfcMeasureResource;DataType;IfcSoundPressureLevelMeasure;;Measure
IfcMeasureResource;DataType;IfcSoundPressureMeasure;;Measure
IfcMeasureResource;DataType;IfcSpecificHeatCapacityMeasure;;Measure
IfcMeasureResource;DataType;IfcTemperatureGradientMeasure;;Measure
IfcMeasureResource;DataType;IfcTemperatureRateOfChangeMeasure;;Measure
IfcMeasureResource;DataType;IfcText;;CharacterString
IfcMeasureResource;DataType;IfcThermalAdmittanceMeasure;;Measure
IfcMeasureResource;DataType;IfcThermalConductivityMeasure;;Measure
IfcMeasureResource;DataType;IfcThermalExpansionCoefficientMeasure;;Measure
IfcMeasureResource;DataType;IfcThermalResistanceMeasure;;Measure
IfcMeasureResource;DataType;IfcThermalTransmittanceMeasure;;Measure
IfcMeasureResource;DataType;IfcThermodynamicTemperatureMeasure;;Measure
IfcMeasureResource;DataType;IfcTimeMeasure;;TimeMeasure
IfcMeasureResource;DataType;IfcTorqueMeasure;;Measure
IfcMeasureResource;DataType;IfcVaporPermeabilityMeasure;;Measure
IfcMeasureResource;DataType;IfcVolumeMeasure;;Volume
IfcMeasureResource;DataType;IfcVolumetricFlowRateMeasure;;Measure
IfcMeasureResource;DataType;IfcWarpingConstantMeasure;;Measure
IfcMeasureResource;DataType;IfcWarpingMomentMeasure;;Measure
